codigo_cliente,numero_contrato,data_vencimento,dia_vencimento,parcela_atraso,vl_atraso,empresa_cobranca,data_pagamento,dia_pagamento,vl_pagamento,vl_honorarios_cobranca,dias_em_atraso,eficiencia_cobranca,custo_cobranca_percentual,houve_atraso
8270,858591,2025-06-09,9,20,893.58,COBRADORA ABC LTDA,2025-06-16,16,893.58,116.17,7,100.0,13.000514783231495,1
1860,553407,2025-06-08,8,16,983.25,COBRADORA ABC LTDA,2025-06-16,16,983.25,127.82,8,100.0,12.999745741164503,1
6390,873746,2025-06-09,9,15,1290.22,COBRADORA ABC LTDA,2025-06-15,15,1290.22,167.73,6,100.0,13.000108508626434,1
6191,853658,2025-06-08,8,14,977.28,COBRADORA ABC LTDA,2025-06-18,18,977.28,127.05,10,100.0,13.00036836935167,1
6734,571849,2025-06-09,9,12,1283.28,COBRADORA ABC LTDA,2025-06-18,18,1283.28,166.83,9,100.0,13.000280531138959,1
7265,197997,2025-06-06,6,14,931.7,COBRADORA ABC LTDA,2025-06-18,18,931.7,121.12,12,100.0,12.999892669314155,1
1466,930205,2025-06-08,8,14,752.01,COBRADORA ABC LTDA,2025-06-17,17,752.01,97.76,9,100.0,12.99982712995838,1
5426,620874,2025-06-05,5,18,826.47,COBRADORA ABC LTDA,2025-06-15,15,826.47,107.44,10,100.0,12.999866903819859,1
6578,781498,2025-06-08,8,18,577.82,COBRADORA ABC LTDA,2025-06-15,15,577.82,75.12,7,100.0,13.000588418538644,1
9322,146078,2025-06-06,6,12,997.38,COBRADORA ABC LTDA,2025-06-16,16,997.38,129.66,10,100.0,13.000060157612944,1
2685,159656,2025-06-10,10,14,648.11,COBRADORA ABC LTDA,2025-06-16,16,648.11,84.25,6,100.0,12.999336532378763,1
1769,534787,2025-06-08,8,19,1311.55,COBRADORA ABC LTDA,2025-06-15,15,1311.55,170.5,7,100.0,12.999885631504709,1
7949,545183,2025-06-09,9,20,920.59,COBRADORA ABC LTDA,2025-06-15,15,920.59,119.68,6,100.0,13.00035846576652,1
3433,927155,2025-06-09,9,18,1265.0,COBRADORA ABC LTDA,2025-06-16,16,1265.0,164.45,7,100.0,13.0,1
6311,827590,2025-06-10,10,18,1454.46,COBRADORA ABC LTDA,2025-06-15,15,1454.46,189.08,5,100.0,13.00001375080786,1
6051,311407,2025-06-06,6,19,1349.48,COBRADORA ABC LTDA,2025-06-16,16,1349.48,175.43,10,100.0,12.99982215371847,1
7420,250943,2025-06-07,7,17,1451.46,COBRADORA ABC LTDA,2025-06-15,15,1451.46,188.69,8,100.0,13.000013779229189,1
2184,623864,2025-06-09,9,14,1067.94,COBRADORA ABC LTDA,2025-06-17,17,1067.94,138.83,8,100.0,12.999793995917376,1
5555,748361,2025-06-05,5,12,665.32,COBRADORA ABC LTDA,2025-06-17,17,665.32,86.49,12,100.0,12.99975951421872,1
4385,979121,2025-06-06,6,18,1435.4,COBRADORA ABC LTDA,2025-06-18,18,1435.4,186.6,12,100.0,12.999860666016442,1
7396,227311,2025-06-08,8,12,1368.5,COBRADORA ABC LTDA,2025-06-15,15,1368.5,177.9,7,100.0,12.99963463646328,1
9666,524079,2025-06-08,8,12,1364.41,COBRADORA ABC LTDA,2025-06-16,16,1364.41,177.37,8,100.0,12.99975813721682,1
3558,108797,2025-06-05,5,20,1193.27,COBRADORA ABC LTDA,2025-06-15,15,1193.27,155.13,10,100.0,13.000410636318687,1
8849,973261,2025-06-09,9,18,1124.92,COBRADORA ABC LTDA,2025-06-15,15,1124.92,146.24,6,100.0,13.00003555808413,1
3047,782214,2025-06-06,6,15,514.72,COBRADORA ABC LTDA,2025-06-18,18,514.72,66.91,12,100.0,12.99930059061237,1
3747,450358,2025-06-05,5,17,1248.05,COBRADORA ABC LTDA,2025-06-16,16,1248.05,162.25,11,100.0,13.000280437482473,1
1189,251379,2025-06-09,9,12,591.54,COBRADORA ABC LTDA,2025-06-15,15,591.54,76.9,6,100.0,12.999966189944892,1
3734,580762,2025-06-06,6,18,759.75,COBRADORA ABC LTDA,2025-06-16,16,759.75,98.77,10,100.0,13.000329055610399,1
4005,844465,2025-06-08,8,17,1051.49,COBRADORA ABC LTDA,2025-06-15,15,1051.49,136.69,7,100.0,12.999648118384389,1
5658,489547,2025-06-06,6,15,951.73,COBRADORA ABC LTDA,2025-06-18,18,951.73,123.72,12,100.0,12.999485148098724,1
2899,656001,2025-06-10,10,18,515.77,COBRADORA ABC LTDA,2025-06-16,16,515.77,67.05,6,100.0,12.999980611512886,1
8734,965905,2025-06-07,7,14,1323.99,COBRADORA ABC LTDA,2025-06-15,15,1323.99,172.12,8,100.0,13.00009818805278,1
2267,763420,2025-06-06,6,12,1378.8,COBRADORA ABC LTDA,2025-06-17,17,1378.8,179.24,11,100.0,12.999709892660286,1
2528,402400,2025-06-07,7,15,1181.87,COBRADORA ABC LTDA,2025-06-16,16,1181.87,153.64,9,100.0,12.999737703808373,1
4556,982567,2025-06-06,6,14,1041.07,COBRADORA ABC LTDA,2025-06-18,18,1041.07,135.34,12,100.0,13.000086449518285,1
4890,542918,2025-06-07,7,12,1460.74,COBRADORA ABC LTDA,2025-06-17,17,1460.74,189.9,10,100.0,13.00026014211975,1
9838,248776,2025-06-10,10,13,619.96,COBRADORA ABC LTDA,2025-06-16,16,619.96,80.59,6,100.0,12.999225756500419,1
6393,434996,2025-06-08,8,16,1237.91,COBRADORA ABC LTDA,2025-06-16,16,1237.91,160.93,8,100.0,13.000137328238726,1
9792,712949,2025-06-09,9,19,628.36,COBRADORA ABC LTDA,2025-06-16,16,628.36,81.69,7,100.0,13.000509262206378,1
9433,616596,2025-06-07,7,12,881.84,COBRADORA ABC LTDA,2025-06-16,16,881.84,114.64,9,100.0,13.00009071940488,1
8513,124643,2025-06-10,10,15,1085.48,COBRADORA ABC LTDA,2025-06-15,15,1085.48,141.11,5,100.0,12.999778899657297,1
3612,176886,2025-06-07,7,15,1237.09,COBRADORA ABC LTDA,2025-06-15,15,1237.09,160.82,8,100.0,12.99986258073382,1
8041,984072,2025-06-08,8,16,503.72,COBRADORA ABC LTDA,2025-06-16,16,503.72,65.48,8,100.0,12.999285317239737,1
7235,656234,2025-06-07,7,18,760.6,COBRADORA ABC LTDA,2025-06-18,18,760.6,98.88,11,100.0,13.00026295030239,1
6486,539508,2025-06-10,10,19,1038.2,COBRADORA ABC LTDA,2025-06-15,15,1038.2,134.97,5,100.0,13.000385282219225,1
8099,140312,2025-06-10,10,17,1032.87,COBRADORA ABC LTDA,2025-06-16,16,1032.87,134.27,6,100.0,12.99969986542353,1
1775,796404,2025-06-05,5,12,1137.63,COBRADORA ABC LTDA,2025-06-16,16,1137.63,147.89,11,100.0,12.999832986120266,1
9226,528571,2025-06-08,8,18,803.85,COBRADORA ABC LTDA,2025-06-18,18,803.85,104.5,10,100.0,12.999937799340671,1
4152,159476,2025-06-05,5,14,1040.53,COBRADORA ABC LTDA,2025-06-18,18,1040.53,135.27,13,100.0,13.0001057153566,1
2585,232359,2025-06-08,8,17,689.79,COBRADORA ABC LTDA,2025-06-18,18,689.79,89.67,10,100.0,12.999608576523292,1
4943,548232,2025-06-07,7,19,686.87,COBRADORA ABC LTDA,2025-06-17,17,686.87,89.29,10,100.0,12.999548677333411,1
8555,372551,2025-06-10,10,18,1076.56,COBRADORA ABC LTDA,2025-06-16,16,1076.56,139.95,6,100.0,12.999739912313293,1
4073,344826,2025-06-05,5,17,1185.47,COBRADORA ABC LTDA,2025-06-18,18,1185.47,154.11,13,100.0,12.999907209798648,1
2021,256485,2025-06-07,7,20,620.4,COBRADORA ABC LTDA,2025-06-16,16,620.4,80.65,9,100.0,12.999677627337203,1
4843,890317,2025-06-10,10,20,622.79,COBRADORA ABC LTDA,2025-06-15,15,622.79,80.96,5,100.0,12.99956646702741,1
8989,868112,2025-06-08,8,12,1065.3,COBRADORA ABC LTDA,2025-06-16,16,1065.3,138.49,8,100.0,13.000093870271288,1
7873,642083,2025-06-10,10,12,770.1,COBRADORA ABC LTDA,2025-06-16,16,770.1,100.11,6,100.0,12.999610440202572,1
6675,813398,2025-06-07,7,12,892.4,COBRADORA ABC LTDA,2025-06-17,17,892.4,116.01,10,100.0,12.99977588525325,1
1161,738511,2025-06-05,5,19,900.75,COBRADORA ABC LTDA,2025-06-15,15,900.75,117.1,10,100.0,13.000277546489036,1
5297,631262,2025-06-05,5,18,678.55,COBRADORA ABC LTDA,2025-06-15,15,678.55,88.21,10,100.0,12.999778940387591,1
1995,672225,2025-06-10,10,14,501.31,COBRADORA ABC LTDA,2025-06-17,17,501.31,65.17,7,100.0,12.999940156789213,1
8629,619775,2025-06-07,7,13,1353.15,COBRADORA ABC LTDA,2025-06-18,18,1353.15,175.91,11,100.0,13.000036950818458,1
2016,693321,2025-06-06,6,15,1215.0,COBRADORA ABC LTDA,2025-06-18,18,1215.0,157.95,12,100.0,13.0,1
8869,238108,2025-06-08,8,14,1190.54,COBRADORA ABC LTDA,2025-06-16,16,1190.54,154.77,8,100.0,12.999983200900434,1
7439,405198,2025-06-08,8,18,1046.51,COBRADORA ABC LTDA,2025-06-17,17,1046.51,136.05,9,100.0,13.000353556105532,1
8892,972399,2025-06-07,7,19,1200.97,COBRADORA ABC LTDA,2025-06-18,18,1200.97,156.13,11,100.0,13.00032473750385,1
7863,116717,2025-06-06,6,17,1435.69,COBRADORA ABC LTDA,2025-06-15,15,1435.69,186.64,9,100.0,13.00002089587585,1
8916,766839,2025-06-05,5,14,1165.67,COBRADORA ABC LTDA,2025-06-17,17,1165.67,151.54,12,100.0,13.000248783961155,1
9529,705593,2025-06-09,9,17,765.09,COBRADORA ABC LTDA,2025-06-18,18,765.09,99.46,9,100.0,12.99977780391849,1
1878,710702,2025-06-09,9,13,1070.56,COBRADORA ABC LTDA,2025-06-15,15,1070.56,139.17,6,100.0,12.99973845464056,1
5887,536136,2025-06-07,7,18,942.32,COBRADORA ABC LTDA,2025-06-17,17,942.32,122.5,10,100.0,12.999830206299345,1
5859,539355,2025-06-06,6,18,1056.42,COBRADORA ABC LTDA,2025-06-16,16,1056.42,137.33,10,100.0,12.999564567122926,1
7331,795005,2025-06-06,6,15,1017.61,COBRADORA ABC LTDA,2025-06-16,16,1017.61,132.29,10,100.0,13.000068788632186,1
9571,825557,2025-06-08,8,19,1358.78,COBRADORA ABC LTDA,2025-06-15,15,1358.78,176.64,7,100.0,12.999896966396326,1
9684,368134,2025-06-05,5,15,1151.8,COBRADORA ABC LTDA,2025-06-18,18,1151.8,149.73,13,100.0,12.999652717485674,1
8208,567654,2025-06-10,10,18,688.76,COBRADORA ABC LTDA,2025-06-18,18,688.76,89.54,8,100.0,13.000174226145539,1
6276,953177,2025-06-06,6,15,563.02,COBRADORA ABC LTDA,2025-06-17,17,563.02,73.19,11,100.0,12.999538204681894,1
3062,188277,2025-06-10,10,16,924.36,COBRADORA ABC LTDA,2025-06-15,15,924.36,120.17,5,100.0,13.000346185468864,1
1064,265036,2025-06-09,9,18,515.61,COBRADORA ABC LTDA,2025-06-18,18,515.61,67.03,9,100.0,13.000135761525183,1
9006,359185,2025-06-10,10,14,818.3,COBRADORA ABC LTDA,2025-06-16,16,818.3,106.38,6,100.0,13.000122204570452,1
3568,430378,2025-06-05,5,16,868.02,COBRADORA ABC LTDA,2025-06-15,15,868.02,112.84,10,100.0,12.99970046773116,1
6463,207335,2025-06-05,5,14,875.59,COBRADORA ABC LTDA,2025-06-16,16,875.59,113.83,11,100.0,13.000376888726459,1
3027,134279,2025-06-10,10,16,1479.35,COBRADORA ABC LTDA,2025-06-15,15,1479.35,192.32,5,100.0,13.000304187649983,1
3695,200243,2025-06-07,7,14,803.9,COBRADORA ABC LTDA,2025-06-17,17,803.9,104.51,10,100.0,13.000373180743875,1
6258,768644,2025-06-06,6,18,765.23,COBRADORA ABC LTDA,2025-06-18,18,765.23,99.48,12,100.0,13.000013067966492,1
6618,524885,2025-06-07,7,12,629.38,COBRADORA ABC LTDA,2025-06-18,18,629.38,81.82,11,100.0,13.000095331913947,1
7736,303776,2025-06-10,10,20,1011.01,COBRADORA ABC LTDA,2025-06-18,18,1011.01,131.43,8,100.0,12.999871415713002,1
1391,711114,2025-06-06,6,20,653.67,COBRADORA ABC LTDA,2025-06-16,16,653.67,84.98,10,100.0,13.000443648936008,1
6892,980809,2025-06-08,8,16,1116.29,COBRADORA ABC LTDA,2025-06-18,18,1116.29,145.12,10,100.0,13.000206039649195,1
4561,996965,2025-06-07,7,20,655.16,COBRADORA ABC LTDA,2025-06-15,15,655.16,85.17,8,100.0,12.999877892423225,1
7184,616341,2025-06-07,7,17,1076.67,COBRADORA ABC LTDA,2025-06-16,16,1076.67,139.97,9,100.0,13.000269349011303,1
4099,968832,2025-06-10,10,16,1326.27,COBRADORA ABC LTDA,2025-06-17,17,1326.27,172.42,7,100.0,13.000369457199515,1
7278,695625,2025-06-09,9,14,542.52,COBRADORA ABC LTDA,2025-06-16,16,542.52,70.53,7,100.0,13.000442380004424,1
9392,918686,2025-06-10,10,19,919.75,COBRADORA ABC LTDA,2025-06-17,17,919.75,119.57,7,100.0,13.000271812992661,1
4104,922245,2025-06-07,7,15,961.05,COBRADORA ABC LTDA,2025-06-16,16,961.05,124.94,9,100.0,13.000364185005983,1
8215,246765,2025-06-06,6,14,1291.07,COBRADORA ABC LTDA,2025-06-18,18,1291.07,167.84,12,100.0,13.000069709620703,1
3454,927554,2025-06-09,9,17,967.92,COBRADORA ABC LTDA,2025-06-17,17,967.92,125.83,8,100.0,13.0000413257294,1
9996,942872,2025-06-10,10,19,1067.54,COBRADORA ABC LTDA,2025-06-18,18,1067.54,138.78,8,100.0,12.999981265339002,1
3731,342588,2025-06-10,10,20,1291.2,COBRADORA ABC LTDA,2025-06-16,16,1291.2,167.86,6,100.0,13.000309789343248,1
9154,499262,2025-06-07,7,17,1059.76,COBRADORA ABC LTDA,2025-06-17,17,1059.76,137.77,10,100.0,13.000113233184873,1
6056,114373,2025-06-07,7,16,858.3,COBRADORA ABC LTDA,2025-06-15,15,858.3,111.58,8,100.0,13.000116509379007,1
9110,593126,2025-06-08,8,13,585.84,COBRADORA ABC LTDA,2025-06-15,15,585.84,76.16,7,100.0,13.00013655605626,1
4840,273260,2025-06-10,10,13,1229.92,COBRADORA ABC LTDA,2025-06-16,16,1229.92,159.89,6,100.0,13.000032522440483,1
2028,479191,2025-06-07,7,20,1371.14,COBRADORA ABC LTDA,2025-06-17,17,1371.14,178.25,10,100.0,13.000131277622998,1
8385,389240,2025-06-05,5,13,1470.06,COBRADORA ABC LTDA,2025-06-15,15,1470.06,191.11,10,100.0,13.00014965375563,1
1502,289473,2025-06-09,9,13,1426.6,COBRADORA ABC LTDA,2025-06-18,18,1426.6,185.46,9,100.0,13.000140193466986,1
7910,108462,2025-06-05,5,14,1297.42,COBRADORA ABC LTDA,2025-06-18,18,1297.42,168.66,13,100.0,12.999645450201166,1
7938,919272,2025-06-09,9,14,1143.47,COBRADORA ABC LTDA,2025-06-16,16,1143.47,148.65,7,100.0,12.999903801586399,1
5488,544676,2025-06-10,10,15,1281.46,COBRADORA ABC LTDA,2025-06-18,18,1281.46,166.59,8,100.0,13.00001560719804,1
1206,589266,2025-06-08,8,18,932.08,COBRADORA ABC LTDA,2025-06-18,18,932.08,121.17,10,100.0,12.999957085228736,1
6134,795722,2025-06-07,7,20,1094.78,COBRADORA ABC LTDA,2025-06-18,18,1094.78,142.32,11,100.0,12.999872120426021,1
6977,224471,2025-06-07,7,13,848.7,COBRADORA ABC LTDA,2025-06-15,15,848.7,110.33,8,100.0,12.99988217273477,1
8721,211594,2025-06-07,7,15,826.71,COBRADORA ABC LTDA,2025-06-17,17,826.71,107.47,10,100.0,12.9997217887772,1
8035,742560,2025-06-10,10,20,1256.69,COBRADORA ABC LTDA,2025-06-16,16,1256.69,163.37,6,100.0,13.000023872235793,1
2484,437167,2025-06-09,9,13,953.93,COBRADORA ABC LTDA,2025-06-17,17,953.93,124.01,8,100.0,12.999905653454658,1
8858,984268,2025-06-07,7,12,712.16,COBRADORA ABC LTDA,2025-06-17,17,712.16,92.58,10,100.0,12.999887665693102,1
1863,686926,2025-06-05,5,19,701.94,COBRADORA ABC LTDA,2025-06-17,17,701.94,91.25,12,100.0,12.999686582898823,1
3790,955386,2025-06-07,7,20,1359.17,COBRADORA ABC LTDA,2025-06-15,15,1359.17,176.69,8,100.0,12.999845493941153,1
8408,456133,2025-06-10,10,18,1177.76,COBRADORA ABC LTDA,2025-06-18,18,1177.76,153.11,8,100.0,13.00010188833039,1
